Index	 Year	 Age	 Name	 Movie
1	1928	22	 "Janet Gaynor"	 "Seventh Heaven "
2	1929	37	 "Mary Pickford"	 "Coquette"
3	1930	28	 "Norma Shearer"	" ""The Divorcee""	"
4	1931	63	 "Marie Dressler"	 "Min and Bill"
5	1932	32	 "Helen Hayes"	" ""The Sin of Madelon Claudet""	"
6	1933	26	 "Katharine Hepburn"	 "Morning Glory"
7	1934	31	 "Claudette Colbert"	 "It Happened One Night"
8	1935	27	 "Bette Davis"	 "Dangerous"
9	1936	27	 "Luise Rainer"	 "The Great Ziegfeld"
10	1937	28	 "Luise Rainer"	 "The Good Earth"
